
N is 16384: 

Miss : 3825, took time 80085
Miss : 3964, took time 275957
Miss : 4030, took time 89565
Miss : 4037, took time 260823
Miss : 4084, took time 87113
Miss : 4101, took time 93361
Miss : 4141, took time 1100149
Miss : 4167, took time 125442
Miss : 4179, took time 278870
Miss : 4217, took time 297538
Miss : 4297, took time 252515
Miss : 4310, took time 78475
Miss : 4316, took time 283864
Miss : 4376, took time 93665
Miss : 4414, took time 253655
Miss : 4476, took time 274879
Miss : 4621, took time 95713
Miss : 4625, took time 289466
Miss : 4668, took time 94657
Miss : 4689, took time 743087
Miss : 4705, took time 370187
Miss : 4722, took time 84289
Miss : 4772, took time 80789
Miss : 4777, took time 88392
Miss : 4787, took time 349820
Miss : 4880, took time 484813
Miss : 4975, took time 77994
Miss : 4991, took time 344760
Miss : 4998, took time 75374
Miss : 5001, took time 255956
Miss : 5102, took time 77589
Miss : 5265, took time 303909
Miss : 5290, took time 276281
Miss : 5338, took time 76612
Miss : 5353, took time 120310
Miss : 5384, took time 266362
Miss : 5426, took time 480157
Miss : 5441, took time 78568
Miss : 5454, took time 78091
Miss : 5572, took time 279089
Miss : 5681, took time 275451
Miss : 5693, took time 80182
Miss : 5698, took time 93606
Miss : 5712, took time 245791
Miss : 5827, took time 279444
Miss : 5930, took time 275279
Miss : 6007, took time 82143
Miss : 6038, took time 263530
Miss : 6146, took time 104461
Miss : 6224, took time 79069
Miss : 6242, took time 248874
Miss : 6274, took time 81239
Miss : 6297, took time 83526
Miss : 6334, took time 95660
Miss : 6511, took time 254512
Miss : 6707, took time 283082
Miss : 6754, took time 77575
Miss : 6835, took time 259569
Miss : 6967, took time 163013
Miss : 6995, took time 564037
Miss : 7021, took time 282275
Miss : 7227, took time 75654
Miss : 7339, took time 78320
Miss : 7354, took time 80316
Miss : 7366, took time 81950
Miss : 7391, took time 282303
Miss : 7424, took time 77936
Miss : 7510, took time 475603
Miss : 7717, took time 74912
Miss : 7736, took time 106288
Miss : 7770, took time 89442
Miss : 7777, took time 89944
Miss : 7823, took time 87314
Miss : 7850, took time 260251
Miss : 7858, took time 84345
Miss : 7919, took time 298012
Miss : 7931, took time 77007
Miss : 7947, took time 115513
Miss : 7978, took time 465281
Miss : 8000, took time 94143
Miss : 8087, took time 238564
Miss : 8153, took time 278263
Miss : 8181, took time 76967
Miss : 8236, took time 101030
Miss : 8243, took time 82264
Miss : 8301, took time 74892
Miss : 8317, took time 284850
Miss : 8370, took time 90252
Miss : 8388, took time 323764
Miss : 8432, took time 81468
Miss : 8440, took time 1440139
Miss : 8442, took time 265919
Miss : 8489, took time 295159
Miss : 8502, took time 78377
Miss : 8615, took time 499624
Miss : 8621, took time 115906
Miss : 8639, took time 5614136
Miss : 8898, took time 301764
Miss : 8927, took time 80622
Miss : 8978, took time 75734
Miss : 9019, took time 82484
Miss : 9112, took time 79963
Miss : 9279, took time 81186
Miss : 9335, took time 102517
Miss : 9362, took time 79170
Miss : 9408, took time 85741
Miss : 9458, took time 79128
Miss : 9513, took time 258015
Miss : 9568, took time 101452
Miss : 9603, took time 240843
Miss : 9665, took time 231840
Miss : 9795, took time 85260
Miss : 9807, took time 443321
Miss : 9825, took time 100202
Miss : 9830, took time 264382
Miss : 9882, took time 94857
Miss : 9907, took time 97545
Miss : 9952, took time 280012
Miss : 9978, took time 113491
Miss : 9999, took time 78461
Miss : 10002, took time 346089
Miss : 10245, took time 76569
Miss : 10259, took time 111071
Miss : 10268, took time 98438
Miss : 10279, took time 257974
Miss : 10338, took time 82436
Miss : 10508, took time 277955
Miss : 10515, took time 80043
Miss : 10523, took time 522476
Miss : 10558, took time 278193
Miss : 10579, took time 257431
Miss : 10614, took time 280778
Miss : 10627, took time 149308
Miss : 10660, took time 80799
Miss : 10663, took time 127628
Miss : 10695, took time 99404
Miss : 10704, took time 93513
