N is 16384: 

Miss : 8573, took time 145584
Miss : 8581, took time 100339
Miss : 8615, took time 71378
Miss : 8650, took time 73756
Miss : 8797, took time 132826
Miss : 8809, took time 77692
Miss : 8872, took time 78132
Miss : 8942, took time 70548
Miss : 8946, took time 175080
Miss : 9013, took time 541071
Miss : 9039, took time 131065
Miss : 9042, took time 74586
Miss : 9089, took time 95725
Miss : 9145, took time 72889
Miss : 9147, took time 72266
Miss : 9181, took time 88462
Miss : 9245, took time 157593
Miss : 9248, took time 73213
Miss : 9265, took time 114329
Miss : 9304, took time 176603
Miss : 9353, took time 81259
Miss : 9367, took time 71735
Miss : 9371, took time 76149
Miss : 9397, took time 795615
Miss : 9403, took time 75796
Miss : 9424, took time 78934
Miss : 9486, took time 408322
Miss : 9544, took time 74479
Miss : 9603, took time 81068
Miss : 9614, took time 93128
Miss : 9694, took time 86691
Miss : 9755, took time 78860
Miss : 9771, took time 75904
Miss : 9794, took time 84765
Miss : 9823, took time 74290
Miss : 9851, took time 2043508
Miss : 9870, took time 85608
Miss : 10018, took time 1457502
Miss : 10034, took time 72223
Miss : 10067, took time 302293
Miss : 10124, took time 71795
Miss : 10148, took time 86169
Miss : 10320, took time 73381
Miss : 10330, took time 69926
Miss : 10354, took time 194457
Miss : 10432, took time 87051
Miss : 10886, took time 81727
Miss : 10912, took time 2057773
Miss : 11016, took time 75537
Miss : 11081, took time 75314
Miss : 11089, took time 102004
Miss : 11107, took time 72489
Miss : 11122, took time 74324
Miss : 11172, took time 91763
Miss : 11181, took time 78236
Miss : 11187, took time 83196
Miss : 11215, took time 150629
Miss : 11257, took time 83593
Miss : 11316, took time 100089
Miss : 11499, took time 232924
Miss : 11549, took time 77615
Miss : 11597, took time 106645
Miss : 11622, took time 71524
Miss : 11632, took time 80053
Miss : 11769, took time 150538
Miss : 11884, took time 148316
Miss : 11922, took time 158911
Miss : 11957, took time 83417
Miss : 11971, took time 93475
Miss : 11982, took time 278689
Miss : 12108, took time 154134
Miss : 12130, took time 214456
Miss : 12177, took time 73689
Miss : 12178, took time 318915
Miss : 12293, took time 167651
Miss : 12350, took time 71871
Miss : 12411, took time 144680
Miss : 12458, took time 71365
Miss : 12470, took time 76883
Miss : 12606, took time 98923
Miss : 12609, took time 258464
Miss : 12630, took time 72859
Miss : 12766, took time 108695
Miss : 12837, took time 94506
Miss : 12849, took time 3049463
Miss : 12850, took time 71970
Miss : 12880, took time 85427
Miss : 12903, took time 1008563
Miss : 13007, took time 339665
Miss : 13080, took time 73574
Miss : 13203, took time 88793
Miss : 13363, took time 94431
Miss : 13368, took time 72887
Miss : 13376, took time 106673
Miss : 13469, took time 71483
Miss : 13498, took time 512978
Miss : 13523, took time 122553
Miss : 13524, took time 71856
Miss : 13545, took time 88099
Miss : 13614, took time 75373
Miss : 13626, took time 148259
Miss : 13729, took time 1649529
Miss : 13784, took time 70206
Miss : 14180, took time 108290
Miss : 14190, took time 232262
Miss : 14202, took time 69766
Miss : 14218, took time 74399
Miss : 14221, took time 411702
Miss : 14269, took time 164900
Miss : 14274, took time 70350
Miss : 14323, took time 73663
Miss : 14478, took time 71057
Miss : 14652, took time 115004
Miss : 14667, took time 89221
Miss : 14701, took time 113402
Miss : 14798, took time 90140
Miss : 14827, took time 91485
Miss : 14846, took time 81988
Miss : 14937, took time 744434
Miss : 14983, took time 90702
Miss : 15000, took time 93626
Miss : 15048, took time 88281
Miss : 15074, took time 272071
Miss : 15081, took time 69800
Miss : 15109, took time 73961
Miss : 15146, took time 79109
Miss : 15184, took time 73756
Miss : 15209, took time 76214
Miss : 15291, took time 70950
Miss : 15311, took time 104929
Miss : 15320, took time 379422
Miss : 15329, took time 2015154
Miss : 15380, took time 157273
Miss : 15395, took time 78960
Miss : 15403, took time 82746
Miss : 15407, took time 75596
Miss : 15410, took time 116441
Miss : 15550, took time 420073
Miss : 15631, took time 422479
Miss : 15711, took time 83571
Miss : 15749, took time 80255
Miss : 15755, took time 4898008
Miss : 15761, took time 73598
Miss : 15804, took time 87303
Miss : 15846, took time 83248
Miss : 15860, took time 90248
Miss : 15869, took time 128997
Miss : 15876, took time 80927
Miss : 15927, took time 79154
Miss : 15940, took time 1195744
Miss : 16013, took time 103332
Miss : 16074, took time 79023
Miss : 16108, took time 76762
Miss : 16124, took time 72134
Miss : 16129, took time 71053
Miss : 16346, took time 83984

The average miss size is 49

N is 16384: 

Miss : 1, took time 74103
Miss : 14, took time 77354
Miss : 21, took time 161902
Miss : 25, took time 76007
Miss : 29, took time 164467
Miss : 62, took time 74203
Miss : 212, took time 2105333
Miss : 217, took time 89007
Miss : 269, took time 91761
Miss : 312, took time 281573
Miss : 316, took time 668057
Miss : 321, took time 76086
Miss : 325, took time 78349
Miss : 454, took time 79168
Miss : 544, took time 82573
Miss : 601, took time 74602
Miss : 604, took time 116137
Miss : 654, took time 116821
Miss : 655, took time 140336
Miss : 680, took time 157522
Miss : 707, took time 90029
Miss : 732, took time 78716
Miss : 741, took time 82898
Miss : 746, took time 352517
Miss : 781, took time 86706
Miss : 810, took time 82616
Miss : 831, took time 103169
Miss : 914, took time 4113017
Miss : 935, took time 111064
Miss : 977, took time 73632
Miss : 989, took time 170856
Miss : 1036, took time 77636
Miss : 1064, took time 77171
Miss : 1091, took time 82932
Miss : 1094, took time 6994511
Miss : 1128, took time 120746
Miss : 1137, took time 4481330
Miss : 1328, took time 261444
Miss : 1331, took time 76954
Miss : 1334, took time 120521
Miss : 1335, took time 90690
Miss : 1337, took time 1567529
Miss : 1350, took time 74448
Miss : 1448, took time 73509
Miss : 1477, took time 75223
Miss : 1488, took time 123372
Miss : 1510, took time 82679
Miss : 1545, took time 135327
Miss : 1578, took time 73734
